Ambiente,Namespace,Cronjob,Verbo,EndpointServicio,ShortEndpointServicio,Horario,Suspend
PROD,api-agente,cct-cronjob-reprocesar-ctg,GET,http://api-agente.apps.ocp-prod.agip.gob.ar/api/Procesos/ReprocesarCTG,/api/Procesos/ReprocesarCTG,0 4 * * *,false
PROD,api-balances,cct-cronjob-campos-iibb,GET,http://api-balances.apps.ocp-prod.agip.gob.ar/api/Procesos/CamposIIBB,/api/Procesos/CamposIIBB,0 3 * * 6,false
PROD,api-balances,cct-cronjob-deuda-historica-sellos,GET,http://api-balances.apps.ocp-prod.agip.gob.ar/api/Procesos/CargarDeudaHistoricaSellos,/api/Procesos/CargarDeudaHistoricaSellos,0 10 * * *,false
PROD,api-cct,cct-actualiza-padron,GET,http://api-padron.apps.ocp-prod.agip.gob.ar/padron/Person/UpdateAllPersons,/padron/Person/UpdateAllPersons,0 3 * * *,false
PROD,api-cct,cct-cronjob-historico-empadronados,GET,http://api-cct.apps.ocp-prod.agip.gob.ar/api/Procesos/CargarPadronEmpadronados,/api/Procesos/CargarPadronEmpadronados,"0 6,13 * * *",false
PROD,api-cct,cct-cronjob-notificaciones,GET,http://api-agente.apps.ocp-prod.agip.gob.ar/api/Notificaciones/GenerarNotificacionesPendientesYDiferenciaMecenazgo,/api/Notificaciones/GenerarNotificacionesPendientesYDiferenciaMecenazgo,*/5 * * * *,false
PROD,api-cct,cct-cronjob-pagosvep,GET,http://api-publicador.apps.ocp-prod.agip.gob.ar/publicador/Pagos/ProcesarPagosVEP,/publicador/Pagos/ProcesarPagosVEP,*/5 * * * *,false
PROD,api-cct,cct-cronjob-procesar-acogimientos,GET,http://api-cct.apps.ocp-prod.agip.gob.ar/api/PlanesDePago/ProcesarAcogimientos,/api/PlanesDePago/ProcesarAcogimientos,0 10 * * *,false
PROD,api-cct,cct-cronjob-sicol-arciba,GET,http://api-publicador.apps.ocp-prod.agip.gob.ar/publicador/SicolArciba/Procesar,/publicador/SicolArciba/Procesar,*/5 * * * *,false
PROD,api-cct,cct-cronjob-sifere,GET,http://api-publicador.apps.ocp-prod.agip.gob.ar/publicador/Sifere/Procesar-Novedades,/publicador/Sifere/Procesar-Novedades,*/5 * * * *,false
PROD,api-publicador,cct-cronjob-conciliar-ddjj-sifere,GET,http://api-publicador.apps.ocp-prod.agip.gob.ar/publicador/Sifere/Conciliar-ddjj-sifere,/publicador/Sifere/Conciliar-ddjj-sifere,0 6 * * *,false
PROD,api-publicador,cct-cronjob-devoluciones,GET,http://api-publicador.apps.ocp-prod.agip.gob.ar/publicador/Consultas/Devoluciones,/publicador/Consultas/Devoluciones,45 8 * * 1-5,false
PROD,api-publicador,cct-cronjob-generar-archivo-cobros,GET,http://api-publicador.apps.ocp-prod.agip.gob.ar/publicador/PFP/GenerarArchivoCobros,/publicador/PFP/GenerarArchivoCobros,30 8 * * *,false
PROD,api-publicador,cct-cronjob-generar-archivo-compensaciones,GET,http://api-publicador.apps.ocp-prod.agip.gob.ar/publicador/ExportGIT/GenerarArchivoCompensaciones,/publicador/ExportGIT/GenerarArchivoCompensaciones,0 7 * * *,false
PROD,api-publicador,cct-cronjob-generar-archivos-pfp,GET,http://api-publicador.apps.ocp-prod.agip.gob.ar/publicador/ExportGIT/GenerarArchivosPFP,/publicador/ExportGIT/GenerarArchivosPFP,*/30 * * * *,false
PROD,api-publicador,cct-cronjob-generar-caducidades,GET,http://api-publicador.apps.ocp-prod.agip.gob.ar/publicador/PFP/GenerarCaducidades,/publicador/PFP/GenerarCaducidades,30 3 * * *,false
PROD,api-publicador,cct-cronjob-generar-cancelaciones,GET,http://api-publicador.apps.ocp-prod.agip.gob.ar/publicador/PFP/GenerarCancelaciones,/publicador/PFP/GenerarCancelaciones,0 10 * * *,false
PROD,api-publicador,cct-cronjob-generar-cancelaciones-anticipadas,GET,http://api-publicador.apps.ocp-prod.agip.gob.ar/publicador/PFP/GenerarCancelacionesAnticipadas,/publicador/PFP/GenerarCancelacionesAnticipadas,0 10 * * *,false
PROD,api-publicador,cct-cronjob-generar-debitos-cancelacion-anticipada,GET,http://api-publicador.apps.ocp-prod.agip.gob.ar/publicador/PFP/GenerarDebitosCancelacionAnticipada,/publicador/PFP/GenerarDebitosCancelacionAnticipada,30 6 * * *,false
PROD,api-publicador,cct-cronjob-generar-debitos-cuotas,GET,http://api-publicador.apps.ocp-prod.agip.gob.ar/publicador/PFP/GenerarDebitosCuotas,/publicador/PFP/GenerarDebitosCuotas,0 4 * * *,false
